class_id,class_name,collection_id,collection_description,property_id,property,property_description,models_used,total_models,fraction,models_list
7,Battery,6,Storage objects,362,Decomposition Method,Method used to pass the optimal storage trajectory from one simulation phase to the next.,3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,45,Storage objects,434,Decomposition Method,Method used to pass the optimal storage trajectory from one simulation phase to the next.,1,16,0.0625,['CAISOIRP23Stochastic 20240517']
7,Battery,79,Battery objects,809,Discharge Efficiency,Efficiency of discharging,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
7,Battery,80,Battery objects,858,Discharge Efficiency,Efficiency of discharging,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
7,Battery,80,Battery objects,877,Duration,Battery duration used to determine the MWh capacity,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,79,Battery objects,881,Economic Life,Economic life of a BESS unit (period over which fixed costs are recovered),4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
7,Battery,6,Storage objects,354,End Effects Method,Method used to handle end-of-period storage.,1,16,0.0625,['European Integrated Power & Gas Model']
7,Battery,6,Storage objects,361,End Effects Method,Method used to handle end-of-period storage.,3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,45,Storage objects,432,End Effects Method,Method used to handle end-of-period storage.,5,16,0.3125,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model', 'CAISOIRP23Stochastic 20240517']"
7,Battery,80,Battery objects,854,End Effects Method,Method used to value or constrain end-of-period energy.,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,316,set of Storage objects involved in the Constraint,1765,End Volume Coefficient,Coefficient of storage end volume.,3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,361,set of Storage objects that define when the Variable is active,2010,End Volume Coefficient,Coefficient of the storage end volume in condition,3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,424,set of Storage objects involved in the Constraint,2055,End Volume Coefficient,Coefficient of storage end volume.,1,16,0.0625,['CAISOIRP23Stochastic 20240517']
7,Battery,470,set of Storage objects involved in the Objective,2430,End Volume Coefficient,Coefficient of storage end volume,1,16,0.0625,['CAISOIRP23Stochastic 20240517']
7,Battery,527,set of Storage objects that define when the Variable is active,2771,End Volume Coefficient,Coefficient of the storage end volume in condition,1,16,0.0625,['CAISOIRP23Stochastic 20240517']
7,Battery,79,Battery objects,813,FO&M Charge,Fixed operations and maintenance charge,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
7,Battery,79,Battery objects,863,Firm Capacity,Contribution of the battery to capacity reserves,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
7,Battery,79,Battery objects,865,Forced Outage Rate,Expected proportion of time the facility is unavailable due to forced outage,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
7,Battery,80,Battery objects,918,Forced Outage Rate,Expected proportion of time the facility is unavailable due to forced outage,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
7,Battery,80,Battery objects,978,Forced Outage Rate,Expected proportion of time the facility is unavailable due to forced outage,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,79,Battery objects,807,Initial SoC,Initial State of Charge,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
7,Battery,6,Storage objects,367,Initial Volume,Storage volume at the start of the period,1,16,0.0625,['European Integrated Power & Gas Model']
7,Battery,6,Storage objects,374,Initial Volume,Storage volume at the start of the period,3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,45,Storage objects,446,Initial Volume,Storage volume at the start of the period,5,16,0.3125,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model', 'CAISOIRP23Stochastic 20240517']"
7,Battery,80,Battery objects,921,Maintenance Rate,Expected proportion of time the facility is unavailable due to maintenance,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
7,Battery,80,Battery objects,981,Maintenance Rate,Expected proportion of time the facility is unavailable due to maintenance,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,79,Battery objects,820,Marginal Loss Factor,Battery marginal loss factor (MLF or TLF),3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
7,Battery,80,Battery objects,869,Marginal Loss Factor,Battery marginal loss factor (MLF or TLF),1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
7,Battery,79,Battery objects,832,Max Cycles Day,Number of cycles allowed each day,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
7,Battery,80,Battery objects,853,Max Load,Power at full charge including inverter losses,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
7,Battery,79,Battery objects,803,Max Power,Power at full discharge,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
7,Battery,80,Battery objects,852,Max Power,Power at full discharge,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
7,Battery,80,Battery objects,878,Max Power,Power at full discharge,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,80,Battery objects,890,Max Ramp Up,Maximum ramp up rate,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,79,Battery objects,805,Max SoC,Allowable maximum State of Charge,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
7,Battery,80,Battery objects,880,Max SoC,Allowable maximum State of Charge,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,6,Storage objects,389,Max Spill,"Maximum allowable spill from the storage to ""the sea""",3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,45,Storage objects,468,Max Spill,"Maximum allowable spill from the storage to ""the sea""",1,16,0.0625,['CAISOIRP23Stochastic 20240517']
7,Battery,79,Battery objects,875,Max Units Built,Maximum number of BESS units that can be built,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
7,Battery,6,Storage objects,366,Max Volume,Maximum volume,1,16,0.0625,['European Integrated Power & Gas Model']
7,Battery,6,Storage objects,373,Max Volume,Maximum volume,3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,45,Storage objects,445,Max Volume,Maximum volume,5,16,0.3125,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model', 'CAISOIRP23Stochastic 20240517']"
7,Battery,79,Battery objects,870,Mean Time to Repair,Mean time to repair,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
7,Battery,80,Battery objects,926,Mean Time to Repair,Mean time to repair,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
7,Battery,80,Battery objects,986,Mean Time to Repair,Mean time to repair,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,79,Battery objects,806,Min SoC,Allowable minimum state of charge,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
7,Battery,80,Battery objects,881,Min SoC,Allowable minimum state of charge,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,79,Battery objects,882,Min Units Built,Minimum number of units automatically constructed in aggregate over the planning horizon,1,16,0.0625,['2024 ISP Step Change Model']
7,Battery,6,Storage objects,375,Min Volume,Minimum volume,1,16,0.0625,['CAISOIRP21 0130']
7,Battery,45,Storage objects,447,Min Volume,Minimum volume,4,16,0.25,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model']"
7,Battery,6,Storage objects,383,Natural Inflow,Rate of natural inflow,3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,45,Storage objects,455,Natural Inflow,Rate of natural inflow,5,16,0.3125,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model', 'CAISOIRP23Stochastic 20240517']"
7,Battery,80,Battery objects,852,Random Number Seed,Random number seed assigned to the generator for the generation of outages,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,6,Storage objects,401,Target Month,end of month storage target,3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,6,Storage objects,409,Target Penalty,Penalty for violating the target.,3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,45,Storage objects,488,Target Penalty,Penalty for violating the target.,1,16,0.0625,['CAISOIRP23Stochastic 20240517']
7,Battery,79,Battery objects,878,Technical Life,Technical lifetime of a BESS unit,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
7,Battery,6,Storage objects,365,Units,Flag if Storage is in service,1,16,0.0625,['European Integrated Power & Gas Model']
7,Battery,6,Storage objects,372,Units,Flag if Storage is in service,3,16,0.1875,"['CAISOIRP21 0130', 'CAISOIRP21 Stochastic2026 0130', 'CAISOIRP21 Stochastic2030 0130']"
7,Battery,45,Storage objects,444,Units,Flag if Storage is in service,1,16,0.0625,['CAISOIRP23Stochastic 20240517']
7,Battery,79,Battery objects,801,Units,Number of BESS units installed,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
7,Battery,80,Battery objects,849,Units,Number of BESS units installed,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
7,Battery,80,Battery objects,875,Units,Number of BESS units installed,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,80,Battery objects,980,Units Out,Number of units out of service,1,16,0.0625,['CAISOSA25 20250505']
7,Battery,79,Battery objects,810,VO&M Charge,Variable operation and maintenance charge,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
7,Battery,79,Battery objects,880,WACC,Weighted average cost of capital,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
59,Company,416,Constraint objects,1951,Include in LT Plan,If the constraint is modeled in the LT Plan phase.,4,16,0.25,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model']"
59,Company,416,Constraint objects,1968,Penalty Price,Price for violating the constraint where the value of -1 indicates that no violation is allowed.,5,16,0.3125,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model', 'CAISOIRP23Stochastic 20240517']"
59,Company,416,Constraint objects,1967,Penalty Quantity,Amount of violation allowed (priced at Penalty Price),1,16,0.0625,['CAISOIRP23Stochastic 20240517']
59,Company,416,Constraint objects,1959,RHS,Right hand side,5,16,0.3125,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model', 'CAISOIRP23Stochastic 20240517']"
59,Company,416,Constraint objects,1965,RHS Custom,Right hand side value over any custom period (000),3,16,0.1875,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Step Change ISP Model']"
59,Company,416,Constraint objects,1961,RHS Day,Right hand side each day (000),1,16,0.0625,['CAISOIRP23Stochastic 20240517']
59,Company,416,Constraint objects,1963,RHS Month,Right hand side each month (000),1,16,0.0625,['CAISOIRP23Stochastic 20240517']
59,Company,416,Constraint objects,1964,RHS Year,Right hand side each year (000),4,16,0.25,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model']"
59,Company,416,Constraint objects,1947,Sense,"Constraint sense (≤,=,≥)",5,16,0.3125,"['2022 Hydrogen Superpower ISP Model', '2022 Progressive Change ISP Model', '2022 Slow Change ISP Model', '2022 Step Change ISP Model', 'CAISOIRP23Stochastic 20240517']"
70,Constraint,31,set of Constraints on the Generator,435,Capacity Built Coefficient,Coefficient of capacity built,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
70,Constraint,77,set of Constraints on the Power2X,753,Capacity Built Coefficient,Coefficient of capacity built,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
70,Constraint,89,set of Constraints on the Battery,945,Capacity Built Coefficient,Coefficient of capacity built,4,16,0.25,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model', 'PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']"
70,Constraint,390,set of Constraints on the Gas Plant,2316,Capacity Built Coefficient,Coefficient of capacity built,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,390,set of Constraints on the Gas Plant,2317,Capacity Built Coefficient,Coefficient of capacity built,1,16,0.0625,['PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']
70,Constraint,507,set of Constraints on the Water Plant,2910,Capacity Built Coefficient,Coefficient of capacity built,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,507,set of Constraints on the Water Plant,2911,Capacity Built Coefficient,Coefficient of capacity built,1,16,0.0625,['PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']
70,Constraint,597,set of Constraints on the Commodity,3412,Capacity Built Coefficient,Coefficient of capacity built,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,597,set of Constraints on the Commodity,3413,Capacity Built Coefficient,Coefficient of capacity built,1,16,0.0625,['PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']
70,Constraint,621,set of Constraints on the Facility,3619,Capacity Built Coefficient,Coefficient of capacity built,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,621,set of Constraints on the Facility,3620,Capacity Built Coefficient,Coefficient of capacity built,1,16,0.0625,['PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']
70,Constraint,656,set of Constraints on the Flow Storage,3925,Capacity Built Coefficient,Coefficient of capacity built,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,656,set of Constraints on the Flow Storage,3926,Capacity Built Coefficient,Coefficient of capacity built,1,16,0.0625,['PLEXOS-World Spatial Resolution Case Study (Second Journal Submission version)']
70,Constraint,290,set of Constraints on the Line,1790,Flow Back Coefficient,Coefficient of counter-reference direction flow,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,318,set of Constraints on the Interface,1947,Flow Back Coefficient,Coefficient of counter-reference direction flow,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,399,set of Constraints on the Gas Pipeline,2443,Flow Back Coefficient,Coefficient of gas pipeline flow at the sending node,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,516,set of Constraints on the Water Pipeline,2977,Flow Back Coefficient,Coefficient of Water Pipeline flow at the sending node,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,650,set of Constraints on the Flow Path,3815,Flow Back Coefficient,Coefficient of Flow Path flow at the sending node,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,104,set of Constraints on the Waterway,1107,Flow Coefficient,Coefficient of waterway flow.,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,290,set of Constraints on the Line,1788,Flow Coefficient,Coefficient of flow,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,304,set of Constraints on the Transformer,1866,Flow Coefficient,Coefficient of transformer flow equation,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,318,set of Constraints on the Interface,1945,Flow Coefficient,Coefficient of flow,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,399,set of Constraints on the Gas Pipeline,2441,Flow Coefficient,Coefficient of gas pipeline flow in the constraint,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,410,set of Constraints on the Gas Node,2504,Flow Coefficient,Coefficient of gas Node flow in the constraint,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,516,set of Constraints on the Water Pipeline,2975,Flow Coefficient,Coefficient of Water Pipeline flow,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,525,set of Constraints on the Water Node,3014,Flow Coefficient,Coefficient of water node flow,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,643,set of Constraints on the Flow Node,3744,Flow Coefficient,Coefficient of Flow Node flow,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,650,set of Constraints on the Flow Path,3813,Flow Coefficient,Coefficient of Flow Path flow,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,290,set of Constraints on the Line,1789,Flow Forward Coefficient,Coefficient of reference direction flow,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,318,set of Constraints on the Interface,1946,Flow Forward Coefficient,Coefficient of reference direction flow,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,399,set of Constraints on the Gas Pipeline,2442,Flow Forward Coefficient,Coefficient of gas pipeline flow at the receiving node,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,516,set of Constraints on the Water Pipeline,2976,Flow Forward Coefficient,Coefficient of Water Pipeline flow at the receiving node,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,650,set of Constraints on the Flow Path,3814,Flow Forward Coefficient,Coefficient of Flow Path flow at the receiving node,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,31,set of Constraints on the Generator,369,Generation Coefficient,Coefficient of generation,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,32,set of Constraints on the Generator,393,Generation Coefficient,Coefficient of generation,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
70,Constraint,53,set of Constraints on the Fuel,596,Generation Coefficient,Coefficient of generation with given fuel,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,54,set of Constraints on the Fuel,627,Generation Coefficient,Coefficient of generation with given fuel,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
70,Constraint,89,set of Constraints on the Battery,910,Generation Coefficient,Coefficient of generation,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,90,set of Constraints on the Battery,967,Generation Coefficient,Coefficient of generation,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
70,Constraint,144,set of Constraints on the Physical Contract,1219,Generation Coefficient,Coefficient of cleared generation offers,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,146,set of Constraints on the Physical Contract,1300,Generation Coefficient,Coefficient of cleared generation offers,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
70,Constraint,218,set of Constraints on the Region,1509,Generation Coefficient,Coefficient of region generation,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,227,set of Constraints on the Region,1634,Generation Coefficient,Coefficient of region generation,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
70,Constraint,258,set of Constraints on the Zone,1595,Generation Coefficient,Coefficient of zone generation,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,273,set of Constraints on the Node,1670,Generation Coefficient,Coefficient of node generation,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,278,set of Constraints on the Zone,1758,Generation Coefficient,Coefficient of zone generation,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
70,Constraint,293,set of Constraints on the Node,1842,Generation Coefficient,Coefficient of node generation,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
70,Constraint,333,set of Constraints on the Hub,1965,Generation Coefficient,Coefficient of hub generation,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,356,set of Constraints on the Hub,2157,Generation Coefficient,Coefficient of hub generation,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
70,Constraint,591,set of Constraints on the Company,3263,Generation Coefficient,Coefficient of company generation,3,16,0.1875,"['2024 ISP Green Energy Exports Model', '2024 ISP Progressive Change Model', '2024 ISP Step Change Model']"
70,Constraint,594,set of Constraints on the Vehicle,3523,Generation Coefficient,Coefficient of generation from vehicle to grid,1,16,0.0625,['PUBLIC Validation 2024-2032 Model 2025-03-14']
